Country,Crime_Index,Safety_Index,Local_Purchasing_Power_Index,Continent,Population,Income
Tunisia,41.88,58.12,34.45,Africa,11818618,2674
Turkey,39.49,60.51,40.85,Asia,84339067,7645
Uganda,59,41,20.5,Africa,45741000,533
Ukraine,48.85,51.15,31.8,Europe,43733759,2620
United Arab Emirates,15.7,84.3,91.58,Asia,9890400,39978
United Kingdom,43.71,56.29,91.73,Europe,67886004,35825
United States,47.2,52.8,109.52,North America,331002647,53497
Uruguay,53.81,46.19,37.46,South America,3473727,14119
Venezuela,84.49,15.51,2.61,South America,28435943,14789
Vietnam,45.35,54.65,28.14,Asia,97338583,2107
Zimbabwe,57.47,42.53,26.03,Africa,14862927,1379
