Country,Crime_Index,Safety_Index,Local_Purchasing_Power_Index,Continent,Population,Income,Rate
Portugal,29.63,70.37,49.43,Europe,10196707,18784,0.79
Puerto Rico,65.63,34.37,79.38,North America,2836998,25367,21.09
Qatar,11.86,88.14,111.69,Asia,2881060,51536,0.38
Romania,27.64,72.36,48.86,Europe,19237682,9716,1.28
Russia,41.12,58.88,38.94,Europe,145934460,8573,8.21
Saudi Arabia,26.18,73.82,100,Asia,34813867,18799,1.3
Serbia,37.41,62.59,36.72,Europe,6804596,5709,1.23
Singapore,30.57,69.43,88.96,Asia,5850343,50176,0.16
Slovakia,29.22,70.78,56.94,Europe,5459643,15123,1.37
Slovenia,21.07,78.93,66.31,Europe,2078932,20701,0.48
Somalia,58.5,41.5,33.24,Africa,15893219,580,4.31
South Africa,77.49,22.51,73.61,Africa,59308690,5117,36.4
South Korea,28.02,71.98,85.21,Asia,51269185,33604,0.6
Spain,31.96,68.04,72.03,Europe,46754783,25698,0.62
Sri Lanka,40.22,59.78,24.45,Asia,21413250,3671,2.42
Sweden,47.07,52.93,101.73,Europe,10099270,46114,1.08
Switzerland,21.6,78.4,119.53,Europe,8654618,65569,0.59
Syria,66.46,33.54,11.46,Asia,17500657,1604,0.88
Taiwan,15.65,84.35,65.67,Asia,23816775,14331,0.82
Tanzania,58.95,41.05,17.58,Africa,56320000,848,6.95
Thailand,40.48,59.52,35.45,Asia,69799978,5548,3.24
Trinidad And Tobago,73.19,26.81,45.7,North America,1399491,13268,30.88
Tunisia,41.88,58.12,34.45,Africa,11818618,2674,3.05
Turkey,39.49,60.51,40.85,Asia,84339067,7645,2.59
Uganda,59,41,20.5,Africa,45741000,533,10.42
Ukraine,48.85,51.15,31.8,Europe,43733759,2620,6.2
United Arab Emirates,15.7,84.3,91.58,Asia,9890400,39978,0.5
United Kingdom,43.71,56.29,91.73,Europe,67886004,35825,1.2
United States,47.2,52.8,109.52,North America,331002647,53497,4.96
Uruguay,53.81,46.19,37.46,South America,3473727,14119,12.06
Venezuela,84.49,15.51,2.61,South America,28435943,14789,36.69
Vietnam,45.35,54.65,28.14,Asia,97338583,2107,1.52
Zimbabwe,57.47,42.53,26.03,Africa,14862927,1379,6.67
